Generator,Rating,,,Generator,Rating,,,Plexos,Rating,,Plexos,Rating
,,,,,,,,,,,,
ReEDS_distpv_p60_,125.8636,,,ReEDS_wind-ons-1_p60_s165,1362.4524,,,ReEDS_distpv_p60_,125.8636,,ReEDS_wind-ons-1_p60_s165,1362.4524
ReEDS_distpv_p61_,220.0909,,,ReEDS_wind-ons-1_p61_s163,1147.2759,,,ReEDS_distpv_p61_,220.0909,,ReEDS_wind-ons-1_p61_s163,1147.2759
ReEDS_distpv_p62_,203.9091,,,ReEDS_wind-ons-1_p61_s166,888.9426,,,ReEDS_distpv_p62_,203.9091,,ReEDS_wind-ons-1_p61_s166,888.9426
ReEDS_distpv_p63_,5672.9091,,,ReEDS_wind-ons-1_p62_s164,158.3874,,,ReEDS_distpv_p63_,5672.9091,,ReEDS_wind-ons-1_p62_s164,158.3874
ReEDS_distpv_p64_,1250.0455,,,ReEDS_wind-ons-2_p60_s165,2631.5814,,,ReEDS_distpv_p64_,1250.0455,,ReEDS_wind-ons-2_p60_s165,2631.5814
ReEDS_distpv_p65_,1495.2727,,,ReEDS_wind-ons-2_p61_s163,2175.5547,,,ReEDS_distpv_p65_,1495.2727,,ReEDS_wind-ons-2_p61_s163,2175.5547
ReEDS_distpv_p67_,3285.4545,,,ReEDS_wind-ons-2_p61_s166,2194.3473,,,ReEDS_distpv_p67_,3285.4545,,ReEDS_wind-ons-2_p61_s166,2194.3473
ReEDS_dupv-5_p63_,3.1,,,ReEDS_wind-ons-2_p62_s164,1185.6487,,,ReEDS_dupv-5_p63_,3.1,,ReEDS_wind-ons-2_p62_s164,1185.6487
ReEDS_dupv-5_p64_,5.7,,,ReEDS_wind-ons-2_p63_s167,1378.7606,,,ReEDS_dupv-5_p64_,5.7,,ReEDS_wind-ons-2_p63_s167,1378.7606
ReEDS_dupv-5_p65_,5.4,,,ReEDS_wind-ons-2_p64_s171,1947.6693,,,ReEDS_dupv-5_p65_,5.4,,ReEDS_wind-ons-2_p64_s171,1947.6693
ReEDS_upv-4_p65_,25,,,ReEDS_wind-ons-3_p60_s165,5193.8091,,,ReEDS_upv-4_p65_,25,,ReEDS_wind-ons-3_p60_s165,5193.8091
ReEDS_upv-4_p67_,27975.0492,,,ReEDS_wind-ons-3_p61_s166,4593.7796,,,ReEDS_upv-4_p67_,27975.0492,,ReEDS_wind-ons-3_p61_s166,4593.7796
ReEDS_upv-5_p61_,2986.2,,,ReEDS_wind-ons-3_p62_s164,293.9997,,,ReEDS_upv-5_p61_,2986.2,,ReEDS_wind-ons-3_p62_s164,293.9997
ReEDS_upv-5_p63_,4143.8792,,,ReEDS_wind-ons-3_p63_s167,2432.81,,,ReEDS_upv-5_p63_,4143.8792,,ReEDS_wind-ons-3_p63_s167,2432.81
ReEDS_upv-5_p64_,19015.4299,,,ReEDS_wind-ons-3_p63_s169,578.583,,,ReEDS_upv-5_p64_,19015.4299,,ReEDS_wind-ons-3_p63_s169,578.583
ReEDS_upv-5_p65_,490.8,,,ReEDS_wind-ons-3_p64_s171,5356.0118,,,ReEDS_upv-5_p65_,490.8,,ReEDS_wind-ons-3_p64_s171,5356.0118
ReEDS_upv-5_p67_,265.7429,,,ReEDS_wind-ons-4_p60_s165,3436.0526,,,ReEDS_upv-5_p67_,265.7429,,ReEDS_wind-ons-4_p60_s165,3436.0526
ReEDS_upv-6_p60_,2873.9916,,,ReEDS_wind-ons-4_p61_s163,6.0389,,,ReEDS_upv-6_p60_,2873.9916,,ReEDS_wind-ons-4_p61_s163,6.0389
ReEDS_upv-6_p61_,49.6,,,ReEDS_wind-ons-4_p61_s166,351.4632,,,ReEDS_upv-6_p61_,49.6,,ReEDS_wind-ons-4_p61_s166,351.4632
ReEDS_upv-6_p62_,2477.6,,,ReEDS_wind-ons-4_p62_s164,797.106,,,ReEDS_upv-6_p62_,2477.6,,ReEDS_wind-ons-4_p62_s164,797.106
,,,,ReEDS_wind-ons-4_p63_s167,702.6102,,,,,,ReEDS_wind-ons-4_p63_s167,702.6102
,,,,ReEDS_wind-ons-4_p63_s169,2644.0393,,,,,,ReEDS_wind-ons-4_p63_s169,2644.0393
,,,,ReEDS_wind-ons-4_p64_s171,4791.1933,,,,,,ReEDS_wind-ons-4_p64_s171,4791.1933
,,,,ReEDS_wind-ons-4_p65_s172,220.5711,,,,,,ReEDS_wind-ons-4_p65_s172,220.5711
,,,,ReEDS_wind-ons-5_p60_s165,3168.0345,,,,,,ReEDS_wind-ons-5_p60_s165,3168.0345
,,,,ReEDS_wind-ons-5_p61_s166,396.9473,,,,,,ReEDS_wind-ons-5_p61_s166,396.9473
,,,,ReEDS_wind-ons-5_p62_s164,211.575,,,,,,ReEDS_wind-ons-5_p62_s164,211.575
,,,,ReEDS_wind-ons-5_p63_s167,3640.6873,,,,,,ReEDS_wind-ons-5_p63_s167,3640.6873
,,,,ReEDS_wind-ons-5_p63_s168,305.1,,,,,,ReEDS_wind-ons-5_p63_s168,305.1
,,,,ReEDS_wind-ons-5_p63_s169,1859.9444,,,,,,ReEDS_wind-ons-5_p63_s169,1859.9444
,,,,ReEDS_wind-ons-5_p65_s172,1997.46,,,,,,ReEDS_wind-ons-5_p65_s172,1997.46
,,,,ReEDS_wind-ons-5_p65_s174,154.6452,,,,,,ReEDS_wind-ons-5_p65_s174,154.6452
,,,,ReEDS_wind-ons-6_p60_s165,591.5567,,,,,,ReEDS_wind-ons-6_p60_s165,591.5567
,,,,ReEDS_wind-ons-6_p61_s166,302.4827,,,,,,ReEDS_wind-ons-6_p61_s166,302.4827
,,,,ReEDS_wind-ons-6_p62_s164,60.925,,,,,,ReEDS_wind-ons-6_p62_s164,60.925
,,,,ReEDS_wind-ons-6_p63_s167,536,,,,,,ReEDS_wind-ons-6_p63_s167,536
,,,,ReEDS_wind-ons-6_p65_s172,3666.5526,,,,,,ReEDS_wind-ons-6_p65_s172,3666.5526
,,,,ReEDS_wind-ons-6_p65_s174,4625.0513,,,,,,ReEDS_wind-ons-6_p65_s174,4625.0513
,,,,ReEDS_wind-ons-7_p60_s165,85.4388,,,,,,ReEDS_wind-ons-7_p60_s165,85.4388
,,,,ReEDS_wind-ons-7_p61_s166,0.08,,,,,,ReEDS_wind-ons-7_p61_s166,0.08
,,,,ReEDS_wind-ons-7_p65_s172,3838.9272,,,,,,ReEDS_wind-ons-7_p65_s172,3838.9272
,,,,ReEDS_wind-ons-7_p65_s174,180,,,,,,ReEDS_wind-ons-7_p65_s174,180
,,,,ReEDS_wind-ons-8_p60_s165,0.035,,,,,,ReEDS_wind-ons-8_p60_s165,0.035
,,,,ReEDS_wind-ons-8_p61_s166,0.035,,,,,,ReEDS_wind-ons-8_p61_s166,0.035
